UserId,SessionId,ArticleId_served,Click,Percentage Time Spent
1,1,914,1,32
1,1,4390,1,15
1,1,1840,0,0
1,1,802,0,0
1,1,3792,0,0
1,1,1055,0,0
1,1,2885,0,0
1,1,578,0,0
1,1,1055,0,0
1,1,192,0,0
1,2,606,0,0
1,2,4372,1,13
1,2,423,0,0
1,2,4385,1,34
1,2,3189,0,0
1,2,1243,0,0
1,2,1939,0,0
1,2,573,0,0
1,2,1141,0,0
1,2,4683,1,15
2,1,3587,0,0
2,1,3423,1,25
2,1,1778,0,0
2,1,3824,0,0
2,1,2712,0,0
2,1,3771,0,0
2,1,1586,0,0
2,1,2850,0,0
2,1,3574,0,0
2,1,3072,0,0
2,2,871,0,0
2,2,4569,0,0
2,2,2018,0,0
2,2,762,1,30
2,2,2156,0,0
2,2,701,0,0
2,2,3670,0,0
2,2,1279,0,0
2,2,3130,0,0
2,2,1743,0,0
2,3,1997,0,0
2,3,2791,0,0
2,3,3684,0,0
2,3,302,1,32
2,3,1976,0,0
2,3,701,0,0
2,3,792,1,34
2,3,3658,1,39
2,3,2117,0,0
2,3,3287,1,24
2,4,3166,0,0
2,4,3986,1,38
2,4,669,1,19
2,4,4039,0,0
2,4,4636,0,0
2,4,761,0,0
2,4,47,0,0
2,4,1763,0,0
2,4,1224,0,0
2,4,1725,1,38
2,5,3324,1,28
2,5,1581,0,0
2,5,3301,0,0
2,5,1388,0,0
2,5,941,0,0
2,5,2397,0,0
2,5,1771,0,0
2,5,744,0,0
2,5,4096,0,0
2,5,1657,0,0
2,6,4221,0,0
2,6,3719,0,0
2,6,760,0,0
2,6,4492,0,0
2,6,865,0,0
2,6,3853,0,0
2,6,4125,0,0
2,6,3838,1,48
2,6,2205,0,0
2,6,3388,0,0
2,7,386,0,0
2,7,2047,0,0
2,7,3046,0,0
2,7,744,0,0
2,7,1657,0,0
2,7,3360,0,0
2,7,2805,1,21
2,7,4533,0,0
2,7,4059,0,0
2,7,3877,0,0
2,8,2655,0,0
2,8,4806,0,0
2,8,1356,0,0
2,8,661,0,0
2,8,3747,1,31
2,8,3023,0,0
2,8,4368,1,29
2,8,3292,0,0
2,8,2573,0,0
2,8,3345,0,0
2,9,1712,0,0
2,9,1493,0,0
2,9,4362,1,33
2,9,4493,0,0
2,9,1203,0,0
2,9,2907,0,0
2,9,4193,0,0
2,9,1811,0,0
2,9,1585,0,0
2,9,1082,0,0
3,1,657,0,0
3,1,687,0,0
3,1,4693,0,0
3,1,3367,0,0
3,1,1208,0,0
3,1,628,1,35
3,1,4547,0,0
3,1,3155,1,31
3,1,4752,0,0
3,1,4133,0,0
3,2,871,0,0
3,2,1838,0,0
3,2,594,0,0
3,2,1736,0,0
3,2,207,1,36
3,2,4071,0,0
3,2,3746,0,0
3,2,3342,0,0
3,2,3234,0,0
3,2,942,0,0
3,3,858,1,27
3,3,814,0,0
3,3,4603,0,0
3,3,2965,0,0
3,3,1219,0,0
3,3,3440,0,0
3,3,2960,0,0
3,3,893,0,0
3,3,358,0,0
3,3,628,0,0
3,4,3588,0,0
3,4,512,0,0
3,4,730,0,0
3,4,3398,0,0
3,4,4149,0,0
3,4,2393,1,41
3,4,2321,1,28
3,4,3010,0,0
3,4,3452,0,0
3,4,3567,0,0
4,1,680,0,0
4,1,3968,0,0
4,1,4650,0,0
4,1,1052,0,0
4,1,2525,1,30
4,1,1354,0,0
4,1,4529,0,0
4,1,2738,0,0
4,1,3601,0,0
4,1,3428,0,0
4,2,2517,0,0
4,2,999,1,30
4,2,2376,0,0
4,2,3689,0,0
4,2,4060,0,0
4,2,2745,0,0
4,2,2600,0,0
4,2,3904,0,0
4,2,4500,0,0
4,2,622,1,14
4,3,3850,1,33
4,3,4180,0,0
4,3,1222,0,0
4,3,2966,0,0
4,3,3999,0,0
4,3,1478,0,0
4,3,2092,0,0
4,3,4784,0,0
4,3,1593,0,0
4,3,2839,0,0
5,1,542,0,0
5,1,2229,0,0
5,1,993,0,0
5,1,390,0,0
5,1,4827,0,0
5,1,1154,1,20
5,1,2500,0,0
5,1,2129,0,0
5,1,429,1,27
5,1,3391,0,0
6,1,2376,0,0
6,1,1916,1,34
6,1,317,0,0
6,1,4127,0,0
6,1,4148,0,0
6,1,2821,0,0
6,1,3343,0,0
6,1,2607,0,0
6,1,4562,0,0
6,1,3379,0,0
7,1,1891,0,0
7,1,2429,0,0
7,1,3873,1,52
7,1,4,1,41
7,1,3648,1,24
7,1,4567,0,0
7,1,2485,0,0
7,1,4262,0,0
7,1,1821,1,42
7,1,3086,0,0
8,1,4070,0,0
8,1,2647,0,0
8,1,2148,0,0
8,1,680,1,52
8,1,3129,0,0
8,1,4331,0,0
8,1,867,0,0
8,1,4803,0,0
8,1,1949,0,0
8,1,2068,0,0
8,2,4630,0,0
8,2,2258,0,0
8,2,259,0,0
8,2,1319,1,26
8,2,2425,0,0
8,2,3028,0,0
8,2,3198,0,0
8,2,3368,0,0
8,2,572,1,25
8,2,324,0,0
8,3,1561,1,25
8,3,1643,0,0
8,3,2366,0,0
8,3,526,0,0
8,3,3044,0,0
8,3,2163,0,0
8,3,3475,0,0
8,3,3729,0,0
8,3,2015,0,0
8,3,767,0,0
8,4,1601,0,0
8,4,1227,1,43
8,4,1028,1,26
8,4,97,0,0
8,4,1255,0,0
8,4,3769,0,0
8,4,2629,0,0
8,4,3219,0,0
8,4,1039,0,0
8,4,2828,0,0
8,5,272,1,34
8,5,3707,0,0
8,5,2580,0,0
8,5,1326,0,0
8,5,2434,1,31
8,5,2146,0,0
8,5,693,0,0
8,5,2124,0,0
8,5,2722,0,0
8,5,3161,0,0
8,6,2815,0,0
8,6,1263,0,0
8,6,1690,1,28
8,6,2902,0,0
8,6,2404,0,0
8,6,1623,0,0
8,6,2107,1,20
8,6,2881,0,0
8,6,2198,0,0
8,6,4260,0,0
9,1,949,0,0
9,1,2482,0,0
9,1,3167,0,0
9,1,1332,0,0
9,1,3677,1,30
9,1,3281,0,0
9,1,1240,0,0
9,1,2063,0,0
9,1,3079,0,0
9,1,3599,1,26
9,2,4246,0,0
9,2,4207,1,26
9,2,169,0,0
9,2,4727,0,0
9,2,650,0,0
9,2,1858,0,0
9,2,3045,0,0
9,2,2939,0,0
9,2,4079,0,0
9,2,2441,0,0
9,3,3966,1,21
9,3,4270,0,0
9,3,706,1,39
9,3,2993,1,38
9,3,3148,0,0
9,3,2792,1,25
9,3,3298,0,0
9,3,3816,1,31
9,3,2869,1,34
9,3,1498,0,0
10,1,4231,0,0
10,1,3836,0,0
10,1,3850,0,0
10,1,3037,0,0
10,1,604,1,36
10,1,1089,0,0
10,1,2506,0,0
10,1,4143,0,0
10,1,236,0,0
10,1,1321,0,0
10,2,3178,1,23
10,2,2810,0,0
10,2,3297,0,0
10,2,2583,0,0
10,2,2365,0,0
10,2,4352,0,0
10,2,3517,0,0
10,2,671,0,0
10,2,1705,0,0
10,2,1525,0,0
10,3,755,0,0
10,3,2019,0,0
10,3,651,0,0
10,3,0,0,0
10,3,1281,0,0
10,3,236,0,0
10,3,3304,0,0
10,3,4035,0,0
10,3,4398,1,35
10,3,2487,0,0
10,4,1428,0,0
10,4,3871,0,0
10,4,260,0,0
10,4,1676,0,0
10,4,2224,0,0
10,4,4459,0,0
10,4,3105,0,0
10,4,4261,0,0
10,4,1259,0,0
10,4,42,1,33
11,1,3678,1,14
11,1,3333,0,0
11,1,4378,0,0
11,1,50,0,0
11,1,4559,0,0
11,1,1162,1,16
11,1,2168,0,0
11,1,3874,0,0
11,1,245,0,0
11,1,3782,0,0
12,1,4756,0,0
12,1,4806,0,0
12,1,1874,0,0
12,1,3905,1,33
12,1,1465,0,0
12,1,822,0,0
12,1,726,0,0
12,1,3220,1,43
12,1,1438,0,0
12,1,1138,0,0
12,2,1519,0,0
12,2,1886,0,0
12,2,1632,0,0
12,2,3931,0,0
12,2,3430,0,0
12,2,2125,0,0
12,2,2669,0,0
12,2,2246,1,32
12,2,2533,0,0
12,2,1383,0,0
12,3,182,0,0
12,3,3122,1,39
12,3,3471,0,0
12,3,193,0,0
12,3,2489,0,0
